# [<k> (h/Mpc)]	orig	1	2	3	4	5	6	adapt	8	9	10
0.0347642200	14995.7500000000	14996.8300000000	15000.1200000000	15014.6700000000	15000.1600000000	15000.2600000000	15000.2600000000	15002.7500000000	15013.1400000000	15004.3700000000	15004.9100000000
0.0589028200	10983.0800000000	10982.1700000000	10979.4400000000	10968.7500000000	10979.4600000000	10979.5300000000	10979.7000000000	10979.0700000000	10971.5400000000	10977.1800000000	10976.3700000000
0.0837808700	6473.9620000000	6474.4180000000	6475.7990000000	6481.7630000000	6475.8090000000	6475.8160000000	6475.7640000000	6476.3860000000	6480.3440000000	6477.1510000000	6477.6060000000
0.1087368000	4976.1200000000	4976.1880000000	4976.4000000000	4977.3340000000	4976.3970000000	4976.3660000000	4976.2930000000	4976.3190000000	4976.3220000000	4976.2400000000	4976.4740000000
0.1341836000	3721.3250000000	3721.3040000000	3721.2610000000	3721.1640000000	3721.2490000000	3721.2270000000	3721.2010000000	3720.9880000000	3720.7270000000	3721.0400000000	3721.1130000000
0.1581206000	2746.5080000000	2746.5420000000	2746.6580000000	2747.1450000000	2746.6530000000	2746.6470000000	2746.6490000000	2746.5090000000	2746.9610000000	2746.7610000000	2746.8110000000
0.1826843000	2127.0480000000	2127.0510000000	2127.0790000000	2127.3230000000	2127.0680000000	2127.0590000000	2127.0490000000	2127.1040000000	2127.1360000000	2127.0570000000	2127.0730000000
0.2073525000	1961.7230000000	1961.7430000000	1961.8110000000	1962.2400000000	1961.8120000000	1961.8010000000	1961.7950000000	1961.8340000000	1961.9560000000	1961.8260000000	1961.8800000000
0.2322407000	1713.0320000000	1713.0860000000	1713.2630000000	1714.1770000000	1713.2630000000	1713.2470000000	1713.2080000000	1713.1440000000	1713.5080000000	1713.2690000000	1713.3950000000
0.2568838000	1444.1550000000	1444.1540000000	1444.1680000000	1444.3900000000	1444.1660000000	1444.1550000000	1444.1480000000	1444.0640000000	1444.1510000000	1444.1430000000	1444.1470000000
0.2811185000	1310.2080000000	1310.2290000000	1310.3030000000	1310.8070000000	1310.3040000000	1310.2970000000	1310.2720000000	1310.0210000000	1310.2570000000	1310.2330000000	1310.3610000000
0.3057758000	1160.5150000000	1160.4470000000	1160.2500000000	1159.8140000000	1160.2610000000	1160.3030000000	1160.3330000000	1160.2500000000	1160.0210000000	1160.2420000000	1160.1900000000
0.3308750000	1120.1140000000	1120.1730000000	1120.3700000000	1121.3810000000	1120.3650000000	1120.3520000000	1120.3260000000	1120.1440000000	1120.8000000000	1120.4460000000	1120.5530000000
0.3553459000	1038.5040000000	1038.5350000000	1038.6430000000	1039.3940000000	1038.6510000000	1038.6630000000	1038.6590000000	1038.6310000000	1039.1420000000	1038.7890000000	1038.8490000000
0.3797184000	889.0596000000	889.0822000000	889.1689000000	889.8198000000	889.1700000000	889.1807000000	889.1806000000	889.1352000000	889.5376000000	889.2701000000	889.3364000000
0.4042043000	866.3303000000	866.3738000000	866.5218000000	867.3894000000	866.5221000000	866.5171000000	866.4938000000	866.4982000000	866.8741000000	866.5848000000	866.6830000000
0.4287408000	782.3067000000	782.2745000000	782.1974000000	782.2288000000	782.1987000000	782.2101000000	782.2151000000	782.2119000000	782.1229000000	782.1855000000	782.1710000000
0.4533372000	765.9140000000	765.9172000000	765.9471000000	766.3895000000	765.9498000000	765.9657000000	765.9637000000	765.8487000000	766.1361000000	766.0202000000	766.0498000000
0.4779960000	719.1251000000	719.1453000000	719.2257000000	719.9353000000	719.2311000000	719.2392000000	719.2264000000	719.0177000000	719.4934000000	719.2786000000	719.3632000000
0.5026630000	682.5501000000	682.5539000000	682.5908000000	683.0847000000	682.5866000000	682.5814000000	682.5653000000	682.3808000000	682.5764000000	682.5310000000	682.6153000000
0.5271488000	617.3688000000	617.3796000000	617.4337000000	618.0455000000	617.4361000000	617.4412000000	617.4421000000	617.4030000000	617.7632000000	617.5228000000	617.5617000000
0.5515428000	601.2603000000	601.2512000000	601.2445000000	601.6539000000	601.2498000000	601.2663000000	601.2613000000	601.1462000000	601.3201000000	601.2536000000	601.3017000000
0.5762241000	566.2284000000	566.2441000000	566.3174000000	566.9969000000	566.3182000000	566.3097000000	566.2944000000	566.0501000000	566.4068000000	566.2857000000	566.3984000000
0.6007286000	570.1290000000	570.1283000000	570.1512000000	570.6656000000	570.1530000000	570.1504000000	570.1404000000	570.0247000000	570.2269000000	570.1388000000	570.1920000000
0.6252569000	541.6216000000	541.6095000000	541.5997000000	542.0372000000	541.6035000000	541.6155000000	541.6117000000	541.4893000000	541.7229000000	541.6343000000	541.6554000000
0.6499966000	526.2176000000	526.2338000000	526.3099000000	527.0440000000	526.3111000000	526.3058000000	526.2838000000	526.1586000000	526.4280000000	526.3007000000	526.3952000000
0.6746858000	493.1031000000	493.0907000000	493.0869000000	493.5277000000	493.0841000000	493.0751000000	493.0520000000	492.7210000000	492.9000000000	492.9668000000	493.0490000000
0.6991271000	486.1328000000	486.1366000000	486.1798000000	486.8246000000	486.1791000000	486.1601000000	486.1391000000	485.9444000000	486.1709000000	486.1265000000	486.2015000000
0.7235757000	468.0769000000	468.0945000000	468.1836000000	469.0507000000	468.1840000000	468.1759000000	468.1527000000	467.9399000000	468.3845000000	468.1978000000	468.2807000000
0.7479714000	451.5457000000	451.5611000000	451.6429000000	452.4737000000	451.6418000000	451.6358000000	451.6330000000	451.6379000000	451.9877000000	451.7356000000	451.7837000000
0.7726133000	440.6447000000	440.6400000000	440.6637000000	441.3063000000	440.6646000000	440.6573000000	440.6397000000	440.4178000000	440.6906000000	440.6300000000	440.7023000000
0.7972413000	422.2403000000	422.2638000000	422.3701000000	423.3501000000	422.3734000000	422.3729000000	422.3620000000	422.1817000000	422.7208000000	422.4539000000	422.5539000000
0.8218513000	414.6695000000	414.6551000000	414.6495000000	415.2259000000	414.6505000000	414.6498000000	414.6483000000	414.4140000000	414.7525000000	414.6601000000	414.6964000000
0.8464491000	397.6532000000	397.6671000000	397.7499000000	398.6109000000	397.7476000000	397.7373000000	397.7278000000	397.5707000000	398.0666000000	397.8252000000	397.8764000000
0.8709767000	390.7023000000	390.7024000000	390.7439000000	391.4858000000	390.7422000000	390.7309000000	390.7210000000	390.5583000000	390.8918000000	390.7554000000	390.8159000000
0.8955547000	376.0324000000	376.0208000000	376.0308000000	376.6331000000	376.0261000000	376.0115000000	375.9990000000	375.7362000000	376.0142000000	375.9830000000	376.0409000000
0.9199772000	367.7558000000	367.7578000000	367.8113000000	368.6370000000	367.8096000000	367.7974000000	367.7875000000	367.6250000000	367.9975000000	367.8238000000	367.8915000000
0.9444963000	366.2257000000	366.2351000000	366.3129000000	367.2568000000	366.3084000000	366.2966000000	366.2847000000	366.1046000000	366.5696000000	366.3451000000	366.4243000000
0.9690846000	357.1703000000	357.1700000000	357.2183000000	358.0677000000	357.2149000000	357.2041000000	357.1913000000	357.0088000000	357.4022000000	357.2296000000	357.2985000000
0.9935517000	349.2085000000	349.2303000000	349.3479000000	350.4830000000	349.3428000000	349.3283000000	349.3087000000	349.0926000000	349.6650000000	349.3904000000	349.4967000000
1.0180990000	341.2835000000	341.2829000000	341.3334000000	342.2125000000	341.3280000000	341.3188000000	341.3123000000	341.1373000000	341.5423000000	341.3508000000	341.4227000000
1.0426790000	332.3856000000	332.4021000000	332.5075000000	333.5955000000	332.4993000000	332.4757000000	332.4607000000	332.3192000000	332.8020000000	332.5313000000	332.6186000000
1.0673530000	323.3726000000	323.3877000000	323.4844000000	324.5705000000	323.4806000000	323.4664000000	323.4505000000	323.2218000000	323.7423000000	323.5006000000	323.6167000000
1.0920040000	314.6700000000	314.6635000000	314.6981000000	315.5544000000	314.6956000000	314.6778000000	314.6666000000	314.3236000000	314.7609000000	314.6624000000	314.7552000000
1.1165490000	308.2670000000	308.2745000000	308.3559000000	309.4096000000	308.3480000000	308.3336000000	308.3261000000	308.0969000000	308.6567000000	308.3983000000	308.4843000000
1.1409670000	304.4494000000	304.4521000000	304.5136000000	305.5553000000	304.5137000000	304.5119000000	304.5102000000	304.2925000000	304.8569000000	304.5824000000	304.6742000000
1.1654100000	294.1981000000	294.2053000000	294.2828000000	295.3857000000	294.2800000000	294.2682000000	294.2612000000	293.9875000000	294.6167000000	294.3371000000	294.4292000000
1.1899420000	284.4119000000	284.4209000000	284.5072000000	285.6431000000	284.5004000000	284.4850000000	284.4782000000	284.2851000000	284.8444000000	284.5587000000	284.6443000000
1.2143400000	283.7052000000	283.7173000000	283.8153000000	284.9987000000	283.8093000000	283.7896000000	283.7759000000	283.4702000000	284.0876000000	283.8300000000	283.9526000000
1.2388240000	277.4131000000	277.4125000000	277.4715000000	278.5433000000	277.4677000000	277.4573000000	277.4526000000	277.1892000000	277.7785000000	277.5219000000	277.6042000000
